ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
00784	PR	25020	1.000	0.845	0.249	057	Guayama, PR MSA
00785	PR	49500	1.000	0.845	0.249	059	Yauco, PR MSA
00786	PR	41980	1.000	0.845	0.249	009	San Juan-Caguas-Guaynabo, PR MSA
00791	PR	41980	1.000	0.845	0.249	069	San Juan-Caguas-Guaynabo, PR MSA
00792	PR	41980	1.000	0.845	0.249	069	San Juan-Caguas-Guaynabo, PR MSA
00794	PR	41980	1.000	0.845	0.249	019	San Juan-Caguas-Guaynabo, PR MSA
00795	PR	38660	1.000	0.845	0.249	075	Ponce, PR MSA
00801	VI	99078	1.000	0.994	1.007	030	VI NONMETROPOLITAN AREA
00802	VI	99078	1.000	0.994	1.007	030	VI NONMETROPOLITAN AREA
00803	VI	99078	1.000	0.994	1.007	030	VI NONMETROPOLITAN AREA
00804	VI	99078	1.000	0.994	1.007	030	VI NONMETROPOLITAN AREA
00805	VI	99078	1.000	0.994	1.007	030	VI NONMETROPOLITAN AREA
00820	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00821	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00822	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00823	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00824	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00830	VI	99078	1.000	0.994	1.007	020	VI NONMETROPOLITAN AREA
00831	VI	99078	1.000	0.994	1.007	020	VI NONMETROPOLITAN AREA
00840	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00841	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00850	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00851	VI	99078	1.000	0.994	1.007	010	VI NONMETROPOLITAN AREA
00901	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00902	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00906	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00907	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00908	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00909	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00910	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00911	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00912	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00913	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00914	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00915	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00916	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00917	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00918	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00919	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00920	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00921	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00922	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00923	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00924	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00925	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00926	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00927	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
